-24.36718963287615, -128.3004331559219
-24.361491196139216, -128.301997044086
-24.35971038202557, -128.30297447418855
-24.357395286211645, -128.30297447418855
-24.35721720016406, -128.3037564182706
-24.35614867861625, -128.30395190429113
-24.35650485346786, -128.30453836235264
-24.354367789323298, -128.30473384837316
-24.350449744680017, -128.30590676449626
-24.349559262816612, -128.30590676450117
-24.348846873024087, -128.3061022505217
-24.345284863936527, -128.3062977365422
-24.33833865799027, -128.30356093225393
-24.336735633295742, -128.31568106552564
-24.337448091219933, -128.3184178698128
-24.339051106898495, -128.32506439451018
-24.339229218499415, -128.32780119879735
-24.339229218499415, -128.32506439451018
